Number,Call No,Book Title,library id,created by library id,contribution id,Author(s),Publisher,Year Published,Pages,Donated By,Price in Rupees,Image
59,59, ప్రతి ఇంట ప్రయోగశాల,,,,డా. మహిదర్ నలిని మోహన్,మంచిపుస్తకం  ,Apr-14,93,విజయవాడ,40,/images/books/59.JPG
60,60,ప్రమాదక్షరి కద మాలిక ,,,,మందా భానుమతి ,ప్రమాదక్షరి ప్రచురణలు ,Dec-14,191,విజయవాడ,100,/images/books/60.JPG
61,61,రాణి-దుర్గావతి,,,,శసిప్రభ,పబ్లికేషన్స్ డివిజన్,2002,21,విజయవాడ,42,/images/books/61.JPG
62,62,ఆనందం ,,,,దాసరి వెంకటరామణ,బాలల సాహిత్య పరిషత్,Nov-09,120,విజయవాడ,100,/images/books/62.JPG
63,63,our Bapu,,,,Begum Qudsia Zaidi,నవొదయ పబ్లికేషన్స్,Jun-02,63,విజయవాడ,30,/images/books/63.JPG
64,64,చెటు చెప్పిన కధలు,,,,చొక్కాపు వెంటరమణ,విశలంధ్రా పబ్లికేషన్స్,Feb-13,60,విజయవాడ,45,/images/books/64.JPG
65,65,నెమలి పిచ్ఛంపైన,,,,మాదిరాజూ గోవర్థన్ రావు,మాదిరాజు గోవర్ధన్ రావు,Jul-05,,విజయవాడ,25,/images/books/65.JPG
66,66,మీరు బడి నుంచి ఏమి నేర్ఛుకోవాలి,,,,చిన్న వీర భధ్రయ్య,Emesko,Jan-05,18,విజయవాడ,30,/images/books/66.JPG
67,67,ఒకటి తిందునా-రెండు తిందునా,,,,డా.M హరికిషన్,కర్నూలు బుక్ ట్రస్ట్,Sep-04,56,విజయవాడ,30,/images/books/67.JPG
68,68,The Best Dictionary for studentes,,,,Franses bekaan,Franses bekaan,Jul-05,366,విజయవాడ,0,/images/books/68.JPG
69,69,Thesourus webster's NewAction,,,,webster's,webster's,Jun-05,307,విజయవాడ,0,/images/books/69.JPG
70,70,webster's for students,,,,webster's,webster's ,Jul-12,336,విజయవాడ,0,/images/books/70.JPG
